name,id,address1,address2,state,city,postal_code
Union Relo,275,2245 Springfield Avenue,,NJ,Vauxhall,7088
Middletown,230,471 Route 35 North,,NJ,Middletown,7748
Montclair,220,701 Bloomfield Avenue,,NJ,Montclair,7042
Paramus,276,300 Bergen Town Center,,NJ,Paramus,7652
Rose City,224,222 Main Street,,NJ,Madison,7940
Ridgewood,222,44 Godwin Avenue,,NJ,Ridgewood,7450
West Orange,271,235 Prospect Avenue,,NJ,West Orange,7052
Albany,289,1425 Central Ave,,NY,Albany,12205
Brooklyn,287,214 Third Street,,NY,Brooklyn,11215
Chelsea,223,250 7th Avenue at 24th Street,,NY,New York City,10001
Columbus Circle,226,10 Columbus Circle,Ste. SC101,NY,New York City,10023
Bowery,272,95 East Houston St,,NY,New York City,10002
Jericho,232,429 North Broadway,,NY,Jericho,11753
Lake Grove,279,120 New Moriches Road,,NY,Lake Grove,11755
Manhasset,219,2101 Northern Blvd.,,NY,Munsey Park,11030
57th Street,283,226 East 57th St,,NY,New York City,10022
Port Chester,286,575 Boston Post Road,,NY,Port Chester,10573
Tribeca,274,270 Greenwich Street,,NY,New York City,10007
Union Square,227,4 Union Square South,,NY,New York City,10003
Upper West Side,277,808 Columbus Ave,,NY,New York City,10025
White Plains,228,110 Bloomingdale Rd,,NY,White Plains,10605
Yonkers,282,One Ridge Hill Blvd,,NY,Yonkers,10710
Arden Way,406,4315 Arden Way,,CA,Sacramento,95864
Blithedale,415,731 E Blithedale Ave,,CA,Mill Valley,94941
Blossom Hill,419,Alameda Rd at Blossom Hill Rd.,,CA,San Jose,95118
Berkeley,12,3000 Telegraph Ave,,CA,Berkeley,94705
Capitola,408,1710 41st Ave,,CA,Capitola,95010
Castro,426,2001 Market Street,,CA,San Francisco,94103
Campbell,37,1690 S. Bascom Avenue,,CA,Campbell,95008
Coddingtown,417,390 Coddingtown Mall,,CA,Santa Rosa,95401
Davis,423,500 First Street,,CA,Davis,95616
Folsom,422,270 Palladio Parkway,,CA,Folsom,95630
Fremont - Mowry,425,3111 Mowry Avenue,,CA,Fremont,94538
Franklin,410,1765 California Street,,CA,San Francisco,94109
Fresno,403,650 West Shaw Avenue,,CA,Fresno,93704
Harrison,460,230 Bay Place,,CA,Oakland,94612
Lafayette,421,3502 Mt. Diablo Blvd,,CA,Lafayette,94549
Los Altos,454,4800 El Camino Real,,CA,Los Altos,94022
Los Gatos,14,15980 Los Gatos Blvd,,CA,Los Gatos,95032
Mill Valley,2006,414 Miller Ave,,CA,Mill Valley,94941
Monterey,246,800 Del Monte Center,,CA,Monterey,93940
Noe Valley,409,3950  24th Street,,CA,San Francisco,94114
Novato,416,Delong Ave & Reichert,,CA,Novato,94945
Napa,461,3682 Bel Aire Plaza,,CA,Napa,94558
Ocean Avenue,424,1150 Ocean Ave,,CA,San Francisco,94112
Palo Alto,11,774 Emerson Street,,CA,Palo Alto,94301
Petaluma,400,621 E. Washington,,CA,Petaluma,94952
