segment_id,segment_name,department_id,department_name,category_id,category_name,subcategory_id,subcategory_name
82800,Cleaning/Hygiene Products,82838,Insect/Pest/Allergen Control,82944,Insect/Pest/Allergen Control,83840,Insect and Pest - Topical
82800,Cleaning/Hygiene Products,82838,Insect/Pest/Allergen Control,82944,Insect/Pest/Allergen Control,96990,Insect/Pest/Allergen Control
82800,Cleaning/Hygiene Products,82865,Waste Management Products,83024,Waste Storage Products,84006,Refuse Bags
82801,Clothing,82824,Clothing,82897,Clothing Accessories,83770,Handwear
82801,Clothing,82824,Clothing,82897,Clothing Accessories,83772,Headwear
82801,Clothing,82824,Clothing,82898,Clothing Variety Packs,83454,Apparel Accessories
82801,Clothing,82824,Clothing,82898,Clothing Variety Packs,83455,Apparel: Miscellaneous Baby and Child Apparel
82801,Clothing,82824,Clothing,82898,Clothing Variety Packs,83472,Baby and Child: Apparel: Accessories
82801,Clothing,82824,Clothing,82898,Clothing Variety Packs,83473,Baby and Child: Apparel: Clothes
82801,Clothing,82824,Clothing,82898,Clothing Variety Packs,83474,Baby and Child: Baby and Child: Baby Accessories
82801,Clothing,82824,Clothing,82898,Clothing Variety Packs,83595,Clothing Variety Packs
82801,Clothing,82824,Clothing,82898,Clothing Variety Packs,83882,Men's Apparel
82801,Clothing,82824,Clothing,82898,Clothing Variety Packs,83883,Men's Apparel: Socks
82801,Clothing,82824,Clothing,82898,Clothing Variety Packs,83884,Men's Apparel: Yoga
82801,Clothing,82824,Clothing,82898,Clothing Variety Packs,83897,Miscellaneous: Miscellaneous Apparel
82801,Clothing,82824,Clothing,82898,Clothing Variety Packs,84173,Unisex Apparel
82801,Clothing,82824,Clothing,82898,Clothing Variety Packs,84218,Women's Apparel
82801,Clothing,82824,Clothing,82898,Clothing Variety Packs,84219,Women's Apparel: Socks
82801,Clothing,82824,Clothing,82898,Clothing Variety Packs,84220,Women's Apparel: Yoga
84280,Electrical Supplies,84282,Electrical Connection/Distribution,84285,Batteries/Chargers,84294,Batteries
84280,Electrical Supplies,84283,Electrical Lighting,84286,Electric Lamps/Light Bulbs/Lighting,84304,Light Bulbs/Tubes/Light-Emitting Diodes
82802,Food/Beverage,82819,Beverages,82867,Alcoholic Beverages,87362,Alcohol Making Kits
82802,Food/Beverage,82819,Beverages,82867,Alcoholic Beverages,87360,Alcohol Making Supplies
82802,Food/Beverage,82819,Beverages,82867,Alcoholic Beverages,96963,Bulk Alcohol Making Supplies
